county,state,county_state,unemp_rate,higherunemp,evict_rate,pred_evrate,pred_error,higherevict
Pointe Coupee Parish,Louisiana,"Pointe Coupee Parish, LA",0.06660000000000002,0.16660000000000003,NA,0.015499799487581964,NA,0.020248081429011217
Polk County,Arkansas,"Polk County, AR",0.05710000000000001,0.15710000000000002,NA,0.013810304492679752,NA,0.017559907371970152
Polk County,Florida,"Polk County, FL",0.06389999999999998,0.1639,0.0277,0.031647043378947796,0.0039470433789477975,0.03895382443028017
Polk County,Georgia,"Polk County, GA",0.0693,0.1693,0.0575,0.017072975009027748,-0.040427024990972255,0.021353234416398977
Polk County,Iowa,"Polk County, IA",0.038500000000000006,0.1385,0.0239,0.02676472777765495,0.0028647277776549483,0.03338631691414329
Polk County,Minnesota,"Polk County, MN",0.04530000000000001,0.1453,0.003,0.029969527740281155,0.026969527740281156,0.03710984577362612
Polk County,Missouri,"Polk County, MO",0.05510000000000001,0.15510000000000002,NA,0.029599801507567747,NA,0.0367612889070785
Polk County,North Carolina,"Polk County, NC",0.05149999999999999,0.1515,0.0117,0.013551330515687705,0.0018513305156877043,0.017237143078301747
Polk County,Nebraska,"Polk County, NE",0.02840000000000001,0.12840000000000001,0.0037,0.010762655649191264,0.007062655649191264,0.01391940279473002
Polk County,Oregon,"Polk County, OR",0.0592,0.1592,0.0133,0.022538986400798974,0.009238986400798975,0.027634055448220462
Polk County,Tennessee,"Polk County, TN",0.06820000000000001,0.16820000000000002,0.0138,0.022961834204872255,0.009161834204872255,0.02913898022569234
Polk County,Texas,"Polk County, TX",0.06520000000000001,0.1652,0.0217,0.014978770875568655,-0.006721229124431346,0.018920663951591095
Polk County,Wisconsin,"Polk County, WI",0.05199999999999999,0.152,0.0137,0.014523797355964277,8.237973559642765e-4,0.01842670598583424
Pondera County,Montana,"Pondera County, MT",0.04469999999999999,0.1447,0.0033,0.00683399715169987,0.00353399715169987,0.008860642108600313
Pontotoc County,Mississippi,"Pontotoc County, MS",0.0562,0.1562,0.0162,0.012697830686251221,-0.003502169313748778,0.0162341577514894
Pontotoc County,Oklahoma,"Pontotoc County, OK",0.0431,0.1431,0.0305,0.012749386897173764,-0.017750613102826236,0.016239382582107897
Pope County,Arkansas,"Pope County, AR",0.05579999999999999,0.1558,NA,0.016570328536029296,NA,0.02074521457813479
Pope County,Illinois,"Pope County, IL",0.0753,0.1753,0.0052,0.017282499168619854,0.012082499168619854,0.02170576446963191
Pope County,Minnesota,"Pope County, MN",0.0358,0.1358,0.0025,0.013007185032031082,0.010507185032031081,0.016600976990321623
Poquoson city,Virginia,"Poquoson city, VA",0.040699999999999986,0.1407,0.0416,0.028576373456716646,-0.013023626543283352,0.03543158474595157
Portage County,Ohio,"Portage County, OH",0.0572,0.1572,0.0241,0.034734749649810576,0.010634749649810576,0.042557091894020196
Portage County,Wisconsin,"Portage County, WI",0.04780000000000001,0.14780000000000001,0.0086,0.01779727104297989,0.00919727104297989,0.02218256489530595
Porter County,Indiana,"Porter County, IN",0.055900000000000005,0.1559,0.0223,0.030227807155764293,0.007927807155764292,0.037451694313097715
Portsmouth city,Virginia,"Portsmouth city, VA",0.06660000000000002,0.16660000000000003,0.1312,0.03936708471428695,-0.09183291528571305,0.04749241258357074
Posey County,Indiana,"Posey County, IN",0.04400000000000001,0.14400000000000002,0.0041,0.023109920227114084,0.019009920227114084,0.029247949971851227
Pottawatomie County,Kansas,"Pottawatomie County, KS",0.03740000000000002,0.13740000000000002,0.0068,0.021003114812309147,0.014203114812309146,0.026740833676978597
Pottawatomie County,Oklahoma,"Pottawatomie County, OK",0.04669999999999999,0.1467,0.0393,0.013849106580841862,-0.02545089341915814,0.017546528840550062
Pottawattamie County,Iowa,"Pottawattamie County, IA",0.037500000000000006,0.1375,0.0353,0.024769429864376465,-0.010530570135623533,0.031114247733434977
Potter County,Pennsylvania,"Potter County, PA",0.07620000000000002,0.17620000000000002,0.0107,0.011769046406095298,0.0010690464060952986,0.014704390646619943
Potter County,South Dakota,"Potter County, SD",0.032799999999999996,0.1328,NA,0.007229913630782859,NA,0.00965189839911454
Potter County,Texas,"Potter County, TX",0.0378,0.1378,NA,0.028182816118887663,NA,0.03483298399126092
Powder River County,Montana,"Powder River County, MT",0.027599999999999986,0.1276,9e-4,0.003428942049699286,0.0025289420496992857,0.0046765346829597725
Powell County,Kentucky,"Powell County, KY",0.0806,0.1806,0.0116,0.012025570071695703,4.255700716957033e-4,0.01554292916051138
Powell County,Montana,"Powell County, MT",0.048600000000000004,0.1486,0.0034,0.006271231258899032,0.002871231258899032,0.008199019681751171
Power County,Idaho,"Power County, ID",0.0471,0.1471,0.0076,0.004137990957106344,-0.003462009042893656,0.0055723878091671
Poweshiek County,Iowa,"Poweshiek County, IA",0.038199999999999984,0.1382,0.0071,0.012923023648886547,0.005823023648886547,0.016497754553570228
Powhatan County,Virginia,"Powhatan County, VA",0.04100000000000001,0.14100000000000001,0.0525,0.018984546915332426,-0.03351545308466757,0.024320679918775987
Prairie County,Arkansas,"Prairie County, AR",0.05099999999999999,0.151,NA,0.010452314189630942,NA,0.013569746919807982
Prairie County,Montana,"Prairie County, MT",0.0403,0.1403,0,0.014000631831286792,0.014000631831286792,0.017172679775212838
Pratt County,Kansas,"Pratt County, KS",0.03719999999999998,0.1372,0.0208,0.011931859705797496,-0.008868140294202503,0.015325235630775263
Preble County,Ohio,"Preble County, OH",0.05479999999999999,0.1548,0.0265,0.01563392324399185,-0.01086607675600815,0.019729653935118448
Prentiss County,Mississippi,"Prentiss County, MS",0.0637,0.1637,NA,0.013055690581628015,NA,0.016685721808954373
Presidio County,Texas,"Presidio County, TX",0.11129999999999998,0.2113,0,0.011556172482809447,0.011556172482809447,0.014970162191745165
Presque Isle County,Michigan,"Presque Isle County, MI",0.1136,0.2136,0.0192,0.016505613831976122,-0.002694386168023876,0.020963430971287292
Preston County,West Virginia,"Preston County, WV",0.05890000000000001,0.1589,0.0256,0.021123928567331737,-0.004476071432668264,0.026940823909815694
Price County,Wisconsin,"Price County, WI",0.049500000000000016,0.14950000000000002,0.0077,0.013317450744579197,0.0056174507445791964,0.017006374068229083
Prince Edward County,Virginia,"Prince Edward County, VA",0.06489999999999999,0.1649,0.0412,0.01292712701550298,-0.028272872984497023,0.016496633276013258
Prince George County,Virginia,"Prince George County, VA",0.0562,0.1562,0.0712,0.034429338138692776,-0.03677066186130722,0.042003142582373365
Prince George's County,Maryland,"Prince George's County, MD",0.0537,0.1537,0.0248,0.031218498633653044,0.006418498633653045,0.038243951766286415
Prince of Wales-Hyder Census Area,Alaska,"Prince of Wales-Hyder Census Area, AK",0.1227,0.2227,NA,0.008516690384740943,NA,0.010985736676575153
Prince William County,Virginia,"Prince William County, VA",0.0426,0.1426,0.0416,0.03210808051383153,-0.009491919486168468,0.03928428791809137
Providence County,Rhode Island,"Providence County, RI",0.069,0.169,0.0333,0.019936858695712354,-0.01336314130428765,0.024665622509000746
Prowers County,Colorado,"Prowers County, CO",0.04150000000000001,0.14150000000000001,0.0058,0.011487894597255566,0.005687894597255567,0.014268515905960346
Pueblo County,Colorado,"Pueblo County, CO",0.0637,0.1637,0.0252,0.023084155674242615,-0.002115844325757385,0.02820521064528772
Pulaski County,Arkansas,"Pulaski County, AR",0.047000000000000014,0.14700000000000002,NA,0.028339818353230597,NA,0.03508297142731625
Pulaski County,Georgia,"Pulaski County, GA",0.06870000000000001,0.16870000000000002,0.0199,0.03151627703168701,0.011616277031687008,0.03882711528384768
Pulaski County,Illinois,"Pulaski County, IL",0.09640000000000001,0.19640000000000002,0.0017,0.01817162823111802,0.01647162823111802,0.022754529574626446
Pulaski County,Indiana,"Pulaski County, IN",0.049699999999999994,0.1497,0.0084,0.012847484349917523,0.004447484349917524,0.016453015509220133
Pulaski County,Kentucky,"Pulaski County, KY",0.0675,0.1675,0.0182,0.01991199583423113,0.0017119958342311295,0.024634384825235365
Pulaski County,Missouri,"Pulaski County, MO",0.061799999999999994,0.1618,0.0085,0.012339986037649677,0.003839986037649677,0.015850414093138088
