county,state,county_state,income_group,shortage
Caldwell County,Missouri,"Caldwell County, MO",r_gap30,146
Caldwell County,North Carolina,"Caldwell County, NC",r_gap30,1095
Caldwell County,Texas,"Caldwell County, TX",r_gap30,670
Caldwell Parish,Louisiana,"Caldwell Parish, LA",r_gap30,134
Caledonia County,Vermont,"Caledonia County, VT",r_gap30,449
Calhoun County,Alabama,"Calhoun County, AL",r_gap30,2345
Calhoun County,Arkansas,"Calhoun County, AR",r_gap30,50
Calhoun County,Florida,"Calhoun County, FL",r_gap30,15
Calhoun County,Georgia,"Calhoun County, GA",r_gap30,54
Calhoun County,Iowa,"Calhoun County, IA",r_gap30,165
Calhoun County,Illinois,"Calhoun County, IL",r_gap30,20
Calhoun County,Michigan,"Calhoun County, MI",r_gap30,2380
Calhoun County,Mississippi,"Calhoun County, MS",r_gap30,350
Calhoun County,South Carolina,"Calhoun County, SC",r_gap30,315
Calhoun County,Texas,"Calhoun County, TX",r_gap30,165
Calhoun County,West Virginia,"Calhoun County, WV",r_gap30,75
Callahan County,Texas,"Callahan County, TX",r_gap30,180
Callaway County,Missouri,"Callaway County, MO",r_gap30,620
Calloway County,Kentucky,"Calloway County, KY",r_gap30,1450
Calumet County,Wisconsin,"Calumet County, WI",r_gap30,450
Calvert County,Maryland,"Calvert County, MD",r_gap30,610
Camas County,Idaho,"Camas County, ID",r_gap30,4
Cambria County,Pennsylvania,"Cambria County, PA",r_gap30,2435
Camden County,Georgia,"Camden County, GA",r_gap30,775
Camden County,Missouri,"Camden County, MO",r_gap30,515
Camden County,North Carolina,"Camden County, NC",r_gap30,95
Camden County,New Jersey,"Camden County, NJ",r_gap30,13340
Cameron County,Pennsylvania,"Cameron County, PA",r_gap30,70
Cameron County,Texas,"Cameron County, TX",r_gap30,8925
Cameron Parish,Louisiana,"Cameron Parish, LA",r_gap30,0
Camp County,Texas,"Camp County, TX",r_gap30,195
Campbell County,Kentucky,"Campbell County, KY",r_gap30,2215
Campbell County,South Dakota,"Campbell County, SD",r_gap30,4
Campbell County,Tennessee,"Campbell County, TN",r_gap30,480
Campbell County,Virginia,"Campbell County, VA",r_gap30,650
Campbell County,Wyoming,"Campbell County, WY",r_gap30,490
Canadian County,Oklahoma,"Canadian County, OK",r_gap30,935
Candler County,Georgia,"Candler County, GA",r_gap30,410
Cannon County,Tennessee,"Cannon County, TN",r_gap30,240
Canyon County,Idaho,"Canyon County, ID",r_gap30,4245
Cape Girardeau County,Missouri,"Cape Girardeau County, MO",r_gap30,1640
Cape May County,New Jersey,"Cape May County, NJ",r_gap30,1125
Carbon County,Montana,"Carbon County, MT",r_gap30,170
Carbon County,Pennsylvania,"Carbon County, PA",r_gap30,895
Carbon County,Utah,"Carbon County, UT",r_gap30,140
Carbon County,Wyoming,"Carbon County, WY",r_gap30,145
Caribou County,Idaho,"Caribou County, ID",r_gap30,5
Carlisle County,Kentucky,"Carlisle County, KY",r_gap30,30
Carlton County,Minnesota,"Carlton County, MN",r_gap30,405
Caroline County,Maryland,"Caroline County, MD",r_gap30,410
Caroline County,Virginia,"Caroline County, VA",r_gap30,214
Carroll County,Arkansas,"Carroll County, AR",r_gap30,100
Carroll County,Georgia,"Carroll County, GA",r_gap30,2260
Carroll County,Iowa,"Carroll County, IA",r_gap30,254
Carroll County,Illinois,"Carroll County, IL",r_gap30,185
Carroll County,Indiana,"Carroll County, IN",r_gap30,144
Carroll County,Kentucky,"Carroll County, KY",r_gap30,190
Carroll County,Maryland,"Carroll County, MD",r_gap30,1640
Carroll County,Missouri,"Carroll County, MO",r_gap30,104
Carroll County,Mississippi,"Carroll County, MS",r_gap30,0
Carroll County,New Hampshire,"Carroll County, NH",r_gap30,815
Carroll County,Ohio,"Carroll County, OH",r_gap30,255
Carroll County,Tennessee,"Carroll County, TN",r_gap30,545
Carroll County,Virginia,"Carroll County, VA",r_gap30,145
Carson City,Nevada,"Carson City, NV",r_gap30,1185
